874
656
254
223,523
419,339
694,199
415,329
557,250
220,80
174,554
297,336
192,536
539,404
709,412
166,276
392,312
94,346
691,410
541,252
689,423
217,98
461,355
185,256
412,277
200,409
520,381
458,264
223,115
504,372
222,499
281,339
206,218
419,287
188,417
482,365
589,406
411,294
483,256
723,418
236,522
128,355
199,422
652,412
678,198
437,265
208,247
239,155
259,313
220,204
478,271
248,173
227,513
202,528
524,247
608,405
37,371
229,124
562,228
241,119
543,234
176,275
611,223
639,410
281,321
419,353
150,582
194,546
553,410
177,415
547,386
625,403
310,331
698,430
405,331
115,609
562,396
531,384
364,314
200,362
225,191
560,239
162,587
235,194
726,192
190,242
504,251
493,266
153,321
110,359
217,127
197,436
370,283
223,146
263,344
361,331
380,313
196,398
648,209
187,554
577,237
110,598
469,261
159,577
383,293
751,413
123,571
757,445
671,410
740,426
232,137
129,344
200,447
595,228
575,402
506,384
220,534
620,216
446,351
215,359
166,289
177,327
148,344
381,281
437,276
493,256
404,303
209,488
346,316
344,290
649,220
511,260
755,393
125,617
669,207
514,249
209,87
185,407
153,302
195,229
174,573
703,207
203,540
135,623
236,324
259,328
246,326
756,380
212,524
400,351
495,384
147,567
176,264
104,345
714,207
82,344
204,478
200,467
431,287
72,345
164,331
223,469
463,285
230,100
472,369
205,230
159,374
211,209
448,271
148,330
230,162
229,480
209,456
520,392
357,287
417,302
682,415
96,376
585,395
61,346
204,325
194,327
335,354
44,350
46,381
308,300
159,347
318,356
464,274
216,325
733,415
698,418
217,481
227,31
347,356
64,385
78,385
59,373
78,370
88,368
142,360
215,380
237,373
255,367
265,354
186,294
206,298
225,302
242,305
361,359
376,359
390,358
332,336
456,340
473,346
489,356
510,367
527,374
734,404
744,381
729,178
735,163
742,142
748,129
752,167
751,202
751,217
741,178
740,201
210,37
221,29
219,50
207,77
251,147
255,175
36,358
55,341
74,336
90,335
320,312
332,305
327,297
592,218
620,230
636,208
226,225
236,206
216,239
198,267
187,281
213,433
237,531
639,401
612,396
634,420
607,416
713,193
740,436
210
873,655
1,655
873,1
1,1
435,313
444,300
476,300
494,290
525,285
556,276
588,264
625,259
656,253
686,233
729,230
448,317
473,317
502,317
533,317
568,316
440,327
464,329
495,332
523,343
560,348
589,364
564,295
600,295
627,288
676,286
704,283
742,277
595,318
637,318
676,319
713,318
742,318
614,363
669,363
696,363
753,349
787,235
776,178
791,132
759,97
768,147
768,112
761,184
764,216
